Year,Month Number,Departure CPH Country,Departure GIS Trad County Name,Destination CPH Country,Destination GIS Trad County Name,Number of Direct Movements
2019,1,England,AVON,England,AVON,679
2019,1,England,AVON,England,BEDFORDSHIRE,45
2019,1,England,AVON,England,CHESHIRE,11
2019,1,England,AVON,England,CORNWALL,2
2019,1,England,AVON,England,DEVON,25
2019,1,England,AVON,England,GLOUCESTERSHIRE,135
2019,1,England,AVON,England,HAMPSHIRE,3
2019,1,England,AVON,England,HEREFORD & WORCESTER,23
2019,1,England,AVON,England,LANCASHIRE,10
2019,1,England,AVON,England,LEICESTERSHIRE,11
2019,1,England,AVON,England,LINCOLNSHIRE,130
2019,1,England,AVON,England,SHROPSHIRE,9
2019,1,England,AVON,England,SOMERSET,936
2019,1,England,AVON,England,WILTSHIRE,916
2019,1,England,AVON,England,,673
2019,1,England,AVON,Wales,MID GLAMORGAN,226
2019,1,England,AVON,Wales,,7
2019,1,England,BEDFORDSHIRE,England,BEDFORDSHIRE,153
2019,1,England,BEDFORDSHIRE,England,BUCKINGHAMSHIRE,14
2019,1,England,BEDFORDSHIRE,England,CAMBRIDGESHIRE,15
2019,1,England,BEDFORDSHIRE,England,DORSET,1
2019,1,England,BEDFORDSHIRE,England,HERTFORDSHIRE,5
2019,1,England,BEDFORDSHIRE,England,LINCOLNSHIRE,102
2019,1,England,BEDFORDSHIRE,England,NORTHAMPTONSHIRE,22
2019,1,England,BEDFORDSHIRE,England,SOUTH YORKSHIRE,1
2019,1,England,BEDFORDSHIRE,England,SURREY,6
2019,1,England,BEDFORDSHIRE,England,WARWICKSHIRE,15
2019,1,England,BEDFORDSHIRE,England,WEST MIDLANDS,5
2019,1,England,BEDFORDSHIRE,England,,36
2019,1,England,BEDFORDSHIRE,Wales,MID GLAMORGAN,151
2019,1,England,BERKSHIRE,England,AVON,20
2019,1,England,BERKSHIRE,England,BEDFORDSHIRE,119
2019,1,England,BERKSHIRE,England,BERKSHIRE,8
2019,1,England,BERKSHIRE,England,BUCKINGHAMSHIRE,55
2019,1,England,BERKSHIRE,England,CORNWALL,3
2019,1,England,BERKSHIRE,England,DEVON,6
2019,1,England,BERKSHIRE,England,GLOUCESTERSHIRE,50
2019,1,England,BERKSHIRE,England,HAMPSHIRE,94
2019,1,England,BERKSHIRE,England,LEICESTERSHIRE,10
2019,1,England,BERKSHIRE,England,OXFORDSHIRE,36
2019,1,England,BERKSHIRE,England,SHROPSHIRE,13
2019,1,England,BERKSHIRE,England,SURREY,27
2019,1,England,BERKSHIRE,England,WILTSHIRE,7
2019,1,England,BERKSHIRE,England,,76
2019,1,England,BERKSHIRE,Wales,MID GLAMORGAN,23
2019,1,England,BUCKINGHAMSHIRE,England,AVON,3
2019,1,England,BUCKINGHAMSHIRE,England,BEDFORDSHIRE,587
2019,1,England,BUCKINGHAMSHIRE,England,BERKSHIRE,14
2019,1,England,BUCKINGHAMSHIRE,England,BUCKINGHAMSHIRE,111
2019,1,England,BUCKINGHAMSHIRE,England,CHESHIRE,79
2019,1,England,BUCKINGHAMSHIRE,England,ESSEX,4
2019,1,England,BUCKINGHAMSHIRE,England,GLOUCESTERSHIRE,12
2019,1,England,BUCKINGHAMSHIRE,England,GREATER LONDON,3
2019,1,England,BUCKINGHAMSHIRE,England,HAMPSHIRE,66
2019,1,England,BUCKINGHAMSHIRE,England,HEREFORD & WORCESTER,1
2019,1,England,BUCKINGHAMSHIRE,England,LANCASHIRE,9
2019,1,England,BUCKINGHAMSHIRE,England,LEICESTERSHIRE,125
2019,1,England,BUCKINGHAMSHIRE,England,LINCOLNSHIRE,239
2019,1,England,BUCKINGHAMSHIRE,England,NORTHAMPTONSHIRE,114
2019,1,England,BUCKINGHAMSHIRE,England,NORTH YORKSHIRE,18
2019,1,England,BUCKINGHAMSHIRE,England,NOTTINGHAMSHIRE,4
2019,1,England,BUCKINGHAMSHIRE,England,OXFORDSHIRE,167
2019,1,England,BUCKINGHAMSHIRE,England,SOMERSET,209
2019,1,England,BUCKINGHAMSHIRE,England,SOUTH YORKSHIRE,52
2019,1,England,BUCKINGHAMSHIRE,England,SURREY,283
