Year,Month Number,Departure CPH Country,Departure GIS Trad County Name,Destination CPH Country,Destination GIS Trad County Name,Number of Direct Movements
2019,1,England,AVON,England,AVON,532
2019,1,England,AVON,England,BEDFORDSHIRE,45
2019,1,England,AVON,England,CHESHIRE,10
2019,1,England,AVON,England,GLOUCESTERSHIRE,18
2019,1,England,AVON,England,LANCASHIRE,10
2019,1,England,AVON,England,LEICESTERSHIRE,11
2019,1,England,AVON,England,LINCOLNSHIRE,130
2019,1,England,AVON,England,SOMERSET,203
2019,1,England,AVON,England,WILTSHIRE,836
2019,1,England,AVON,England,,402
2019,1,England,AVON,Wales,MID GLAMORGAN,226
2019,1,England,AVON,Wales,,7
2019,1,England,BEDFORDSHIRE,England,BEDFORDSHIRE,139
2019,1,England,BEDFORDSHIRE,England,LINCOLNSHIRE,102
2019,1,England,BEDFORDSHIRE,England,SOUTH YORKSHIRE,1
2019,1,England,BEDFORDSHIRE,England,SURREY,6
2019,1,England,BEDFORDSHIRE,England,WEST MIDLANDS,5
2019,1,England,BEDFORDSHIRE,England,,27
2019,1,England,BEDFORDSHIRE,Wales,MID GLAMORGAN,151
2019,1,England,BERKSHIRE,England,AVON,20
2019,1,England,BERKSHIRE,England,BEDFORDSHIRE,119
2019,1,England,BERKSHIRE,England,GLOUCESTERSHIRE,3
2019,1,England,BERKSHIRE,England,HAMPSHIRE,39
2019,1,England,BERKSHIRE,England,LEICESTERSHIRE,10
2019,1,England,BERKSHIRE,England,SURREY,27
2019,1,England,BERKSHIRE,England,WILTSHIRE,6
2019,1,England,BERKSHIRE,England,,49
2019,1,England,BERKSHIRE,Wales,MID GLAMORGAN,23
2019,1,England,BUCKINGHAMSHIRE,England,AVON,3
2019,1,England,BUCKINGHAMSHIRE,England,BEDFORDSHIRE,587
2019,1,England,BUCKINGHAMSHIRE,England,CHESHIRE,79
2019,1,England,BUCKINGHAMSHIRE,England,ESSEX,3
2019,1,England,BUCKINGHAMSHIRE,England,GREATER LONDON,3
2019,1,England,BUCKINGHAMSHIRE,England,HAMPSHIRE,66
2019,1,England,BUCKINGHAMSHIRE,England,LANCASHIRE,6
2019,1,England,BUCKINGHAMSHIRE,England,LEICESTERSHIRE,74
2019,1,England,BUCKINGHAMSHIRE,England,LINCOLNSHIRE,239
2019,1,England,BUCKINGHAMSHIRE,England,NORTH YORKSHIRE,18
2019,1,England,BUCKINGHAMSHIRE,England,SOMERSET,205
2019,1,England,BUCKINGHAMSHIRE,England,SOUTH YORKSHIRE,52
2019,1,England,BUCKINGHAMSHIRE,England,SURREY,213
2019,1,England,BUCKINGHAMSHIRE,England,WEST MIDLANDS,2
2019,1,England,BUCKINGHAMSHIRE,England,WEST YORKSHIRE,3
2019,1,England,BUCKINGHAMSHIRE,England,,50
2019,1,England,BUCKINGHAMSHIRE,Wales,MID GLAMORGAN,574
2019,1,England,CAMBRIDGESHIRE,England,BEDFORDSHIRE,250
2019,1,England,CAMBRIDGESHIRE,England,CAMBRIDGESHIRE,3
2019,1,England,CAMBRIDGESHIRE,England,CHESHIRE,5
2019,1,England,CAMBRIDGESHIRE,England,ESSEX,21
2019,1,England,CAMBRIDGESHIRE,England,LANCASHIRE,20
2019,1,England,CAMBRIDGESHIRE,England,LEICESTERSHIRE,197
2019,1,England,CAMBRIDGESHIRE,England,LINCOLNSHIRE,455
2019,1,England,CAMBRIDGESHIRE,England,NORFOLK,4
2019,1,England,CAMBRIDGESHIRE,England,SHROPSHIRE,20
2019,1,England,CAMBRIDGESHIRE,England,SOUTH YORKSHIRE,1
2019,1,England,CAMBRIDGESHIRE,England,STAFFORDSHIRE,4
2019,1,England,CAMBRIDGESHIRE,England,,62
2019,1,England,CAMBRIDGESHIRE,Wales,MID GLAMORGAN,97
2019,1,England,CHESHIRE,England,AVON,164
2019,1,England,CHESHIRE,England,BEDFORDSHIRE,89
2019,1,England,CHESHIRE,England,CHESHIRE,271
2019,1,England,CHESHIRE,England,DERBYSHIRE,1
2019,1,England,CHESHIRE,England,GLOUCESTERSHIRE,12
2019,1,England,CHESHIRE,England,GREATER MANCHESTER,17
2019,1,England,CHESHIRE,England,LANCASHIRE,860
2019,1,England,CHESHIRE,England,LEICESTERSHIRE,22
2019,1,England,CHESHIRE,England,LINCOLNSHIRE,263
2019,1,England,CHESHIRE,England,MERSEYSIDE,2
2019,1,England,CHESHIRE,England,NORTH YORKSHIRE,16
2019,1,England,CHESHIRE,England,SHROPSHIRE,513
2019,1,England,CHESHIRE,England,SOMERSET,18
2019,1,England,CHESHIRE,England,SOUTH YORKSHIRE,129
2019,1,England,CHESHIRE,England,STAFFORDSHIRE,185
2019,1,England,CHESHIRE,England,,"1,775"
