Movement Year,Movement Month Number,Best CPH Country (Dep),Best CPH County (Dep),Best CPH Country (Dest),Best CPH County (Dest),Number of Movements,Number of Animals Moved
2019,1,England,Avon,England,Avon,59,765
2019,1,England,Avon,England,Cheshire,1,6
2019,1,England,Avon,England,Cornwall,2,24
2019,1,England,Avon,England,Devonshire,4,90
2019,1,England,Avon,England,Dorset,2,215
2019,1,England,Avon,England,Gloucestershire,41,776
2019,1,England,Avon,England,Hereford & Worcester,13,294
2019,1,England,Avon,England,Somerset,108,"2,540"
2019,1,England,Avon,England,Wiltshire,14,544
2019,1,England,Avon,Wales,Dyfed,2,9
2019,1,England,Avon,Wales,Mid Glamorgan,18,"1,162"
2019,1,England,Avon,Wales,South Glamorgan,1,1
2019,1,England,Bedfordshire,England,Bedfordshire,22,342
2019,1,England,Bedfordshire,England,Buckinghamshire,5,66
2019,1,England,Bedfordshire,England,Cambridgeshire,9,34
2019,1,England,Bedfordshire,England,Derbyshire,1,20
2019,1,England,Bedfordshire,England,Greater London - East,1,53
2019,1,England,Bedfordshire,England,Northamptonshire,23,301
2019,1,England,Bedfordshire,England,Oxfordshire,1,5
2019,1,England,Bedfordshire,England,Warwickshire,3,43
2019,1,England,Bedfordshire,England,West Midlands,6,489
2019,1,England,Berkshire,England,Berkshire,14,"1,213"
2019,1,England,Berkshire,England,Dorset,3,421
2019,1,England,Berkshire,England,Gloucestershire,14,218
2019,1,England,Berkshire,England,Hampshire,11,203
2019,1,England,Berkshire,England,Oxfordshire,12,"1,203"
2019,1,England,Berkshire,England,Staffordshire,1,3
2019,1,England,Berkshire,England,Surrey,1,58
2019,1,England,Berkshire,England,Warwickshire,1,39
2019,1,England,Berkshire,England,Wiltshire,7,328
2019,1,England,Berkshire,Unknown,Unknown,2,82
2019,1,England,Berkshire,Wales,Dyfed,2,127
2019,1,England,Berkshire,Wales,Mid Glamorgan,2,578
2019,1,England,Berkshire,Wales,Powys (North & South),1,52
2019,1,England,Buckinghamshire,England,Bedfordshire,15,226
2019,1,England,Buckinghamshire,England,Buckinghamshire,40,"2,203"
2019,1,England,Buckinghamshire,England,Dorset,3,368
