Movement Year,Movement Month Number,Best CPH Country (Dep),Best CPH County (Dep),Best CPH Country (Dest),Best CPH County (Dest),Number of Movements,Number of Animals Moved
2019,1,England,Avon,England,Avon,32,138
2019,1,England,Avon,England,Cornwall,2,24
2019,1,England,Avon,England,Dorset,2,215
2019,1,England,Avon,England,Gloucestershire,10,43
2019,1,England,Avon,England,Somerset,7,32
2019,1,England,Avon,England,Wiltshire,11,486
2019,1,England,Avon,Wales,Mid Glamorgan,18,"1,162"
2019,1,England,Bedfordshire,England,Bedfordshire,7,26
2019,1,England,Bedfordshire,England,Cambridgeshire,8,31
2019,1,England,Bedfordshire,England,Greater London - East,1,53
2019,1,England,Bedfordshire,England,Warwickshire,3,43
2019,1,England,Bedfordshire,England,West Midlands,6,489
2019,1,England,Berkshire,England,Dorset,3,421
2019,1,England,Berkshire,England,Gloucestershire,1,5
2019,1,England,Berkshire,England,Hampshire,10,188
2019,1,England,Berkshire,England,Oxfordshire,3,21
2019,1,England,Berkshire,England,Warwickshire,1,39
2019,1,England,Berkshire,England,Wiltshire,3,28
2019,1,England,Berkshire,Wales,Dyfed,2,127
2019,1,England,Berkshire,Wales,Mid Glamorgan,2,578
2019,1,England,Berkshire,Wales,Powys (North & South),1,52
2019,1,England,Buckinghamshire,England,Bedfordshire,5,38
2019,1,England,Buckinghamshire,England,Dorset,3,368
2019,1,England,Buckinghamshire,England,Essex,1,10
2019,1,England,Buckinghamshire,England,Greater London - East,2,198
2019,1,England,Buckinghamshire,England,Hampshire,13,250
2019,1,England,Buckinghamshire,England,Oxfordshire,9,143
2019,1,England,Buckinghamshire,England,Warwickshire,22,992
2019,1,England,Buckinghamshire,England,West Midlands,1,11
2019,1,England,Buckinghamshire,England,Wiltshire,2,15
2019,1,England,Buckinghamshire,Wales,Mid Glamorgan,12,886
2019,1,England,Buckinghamshire,Wales,Powys (North & South),2,284
2019,1,England,Cambridgeshire,England,Cambridgeshire,27,119
2019,1,England,Cambridgeshire,England,Essex,7,116
2019,1,England,Cambridgeshire,England,Kent,1,205
2019,1,England,Cambridgeshire,England,Lancashire,1,72
2019,1,England,Cambridgeshire,England,Lincolnshire,2,12
2019,1,England,Cambridgeshire,England,Norfolk,12,136
2019,1,England,Cambridgeshire,England,Warwickshire,1,67
2019,1,England,Cheshire,England,Cheshire,88,716
2019,1,England,Cheshire,England,Derbyshire,25,416
2019,1,England,Cheshire,England,Greater Manchester,29,449
2019,1,England,Cheshire,England,Lancashire,6,406
2019,1,England,Cheshire,England,Merseyside,1,3
2019,1,England,Cheshire,England,Shropshire,15,"1,528"
2019,1,England,Cheshire,England,Staffordshire,14,544
2019,1,England,Cheshire,England,West Midlands,2,348
2019,1,England,Cheshire,Wales,Clwyd,5,29
2019,1,England,Cheshire,Wales,Mid Glamorgan,12,687
2019,1,England,Cheshire,Wales,Powys (North & South),2,221
2019,1,England,Cleveland,England,Durham,6,38
2019,1,England,Cleveland,England,Humberside,10,517
2019,1,England,Cleveland,England,North Yorkshire,1,3
2019,1,England,Cornwall,England,Cornwall,539,"14,010"
2019,1,England,Cornwall,England,Devonshire,4,58
2019,1,England,Cornwall,England,Dorset,29,"2,877"
2019,1,England,Cornwall,Wales,Dyfed,2,69
2019,1,England,Cornwall,Wales,Mid Glamorgan,31,"2,429"
2019,1,England,Cornwall,Wales,Powys (North & South),14,"1,089"
2019,1,England,Cumbria,England,Cumbria,219,"10,173"
2019,1,England,Cumbria,England,Derbyshire,25,"1,744"
2019,1,England,Cumbria,England,Dorset,25,"11,089"
2019,1,England,Cumbria,England,Durham,42,"1,964"
2019,1,England,Cumbria,England,Greater London - East,26,"3,649"
2019,1,England,Cumbria,England,Greater Manchester,31,"2,189"
2019,1,England,Cumbria,England,Humberside,4,876
2019,1,England,Cumbria,England,Kent,2,374
2019,1,England,Cumbria,England,Lancashire,182,"10,667"
2019,1,England,Cumbria,England,North Yorkshire,20,"1,262"
2019,1,England,Cumbria,England,Oxfordshire,38,"2,812"
2019,1,England,Cumbria,England,Shropshire,7,"1,575"
2019,1,England,Cumbria,England,Staffordshire,4,645
