,Year,Month,Departure CPH Country,OnCounty,Destination CPH Country,OffCounty,Count
45467,2021.0,4.0,England,BEDFORDSHIRE,England,NOTTINGHAMSHIRE,6
45469,2021.0,4.0,England,BEDFORDSHIRE,England,WEST MIDLANDS,15
45472,2021.0,4.0,England,BEDFORDSHIRE,Wales,MID GLAMORGAN,40
45473,2021.0,4.0,England,BERKSHIRE,England,AVON,42
45477,2021.0,4.0,England,BERKSHIRE,England,CHESHIRE,7
45478,2021.0,4.0,England,BERKSHIRE,England,DEVON,6
45479,2021.0,4.0,England,BERKSHIRE,England,DORSET,6
45481,2021.0,4.0,England,BERKSHIRE,England,GLOUCESTERSHIRE,125
45483,2021.0,4.0,England,BERKSHIRE,England,HEREFORD & WORCESTER,17
45485,2021.0,4.0,England,BERKSHIRE,England,SOMERSET,31
45486,2021.0,4.0,England,BERKSHIRE,England,SOUTH YORKSHIRE,5
45487,2021.0,4.0,England,BERKSHIRE,England,STAFFORDSHIRE,1
45489,2021.0,4.0,England,BERKSHIRE,England,WARWICKSHIRE,29
45491,2021.0,4.0,England,BERKSHIRE,England,WILTSHIRE,6
45493,2021.0,4.0,England,BERKSHIRE,Scotland,STRATHCLYDE,3
45494,2021.0,4.0,England,BERKSHIRE,Wales,MID GLAMORGAN,32
45495,2021.0,4.0,England,BUCKINGHAMSHIRE,England,AVON,8
45500,2021.0,4.0,England,BUCKINGHAMSHIRE,England,CHESHIRE,29
45501,2021.0,4.0,England,BUCKINGHAMSHIRE,England,DERBYSHIRE,4
45502,2021.0,4.0,England,BUCKINGHAMSHIRE,England,DEVON,1
45503,2021.0,4.0,England,BUCKINGHAMSHIRE,England,GLOUCESTERSHIRE,9
45506,2021.0,4.0,England,BUCKINGHAMSHIRE,England,HEREFORD & WORCESTER,6
45508,2021.0,4.0,England,BUCKINGHAMSHIRE,England,LANCASHIRE,5
45513,2021.0,4.0,England,BUCKINGHAMSHIRE,England,NORTH YORKSHIRE,44
45514,2021.0,4.0,England,BUCKINGHAMSHIRE,England,NOTTINGHAMSHIRE,2
45516,2021.0,4.0,England,BUCKINGHAMSHIRE,England,SHROPSHIRE,22
45517,2021.0,4.0,England,BUCKINGHAMSHIRE,England,SOUTH YORKSHIRE,14
45518,2021.0,4.0,England,BUCKINGHAMSHIRE,England,STAFFORDSHIRE,2
45520,2021.0,4.0,England,BUCKINGHAMSHIRE,England,WARWICKSHIRE,43
45521,2021.0,4.0,England,BUCKINGHAMSHIRE,England,WEST MIDLANDS,1
45522,2021.0,4.0,England,BUCKINGHAMSHIRE,England,WEST YORKSHIRE,17
45524,2021.0,4.0,England,BUCKINGHAMSHIRE,Wales,GWYNEDD,1
45525,2021.0,4.0,England,BUCKINGHAMSHIRE,Wales,MID GLAMORGAN,504
45526,2021.0,4.0,England,BUCKINGHAMSHIRE,Wales,POWYS,2
45530,2021.0,4.0,England,CAMBRIDGESHIRE,England,CUMBRIA,3
45532,2021.0,4.0,England,CAMBRIDGESHIRE,England,GLOUCESTERSHIRE,11
45538,2021.0,4.0,England,CAMBRIDGESHIRE,England,NOTTINGHAMSHIRE,22
45540,2021.0,4.0,England,CAMBRIDGESHIRE,England,SHROPSHIRE,36
45541,2021.0,4.0,England,CAMBRIDGESHIRE,England,STAFFORDSHIRE,10
45545,2021.0,4.0,England,CAMBRIDGESHIRE,Scotland,LOTHIAN,3
45546,2021.0,4.0,England,CAMBRIDGESHIRE,Wales,MID GLAMORGAN,32
45791,2021.0,4.0,England,EAST SUSSEX,England,AVON,4
45794,2021.0,4.0,England,EAST SUSSEX,England,CHESHIRE,1
45795,2021.0,4.0,England,EAST SUSSEX,England,DEVON,2
45796,2021.0,4.0,England,EAST SUSSEX,England,DORSET,2
45799,2021.0,4.0,England,EAST SUSSEX,England,GLOUCESTERSHIRE,30
45804,2021.0,4.0,England,EAST SUSSEX,England,SOMERSET,505
45805,2021.0,4.0,England,EAST SUSSEX,England,STAFFORDSHIRE,2
45810,2021.0,4.0,England,EAST SUSSEX,Wales,MID GLAMORGAN,423
45811,2021.0,4.0,England,EAST SUSSEX,Wales,POWYS,1
45812,2021.0,4.0,England,ESSEX,England,AVON,1
45819,2021.0,4.0,England,ESSEX,England,GREATER MANCHESTER,7
45828,2021.0,4.0,England,ESSEX,England,SHROPSHIRE,1
45829,2021.0,4.0,England,ESSEX,England,SOUTH YORKSHIRE,22
45832,2021.0,4.0,England,ESSEX,England,WARWICKSHIRE,5
45834,2021.0,4.0,England,ESSEX,Wales,MID GLAMORGAN,16
45894,2021.0,4.0,England,HAMPSHIRE,England,AVON,160
45898,2021.0,4.0,England,HAMPSHIRE,England,DERBYSHIRE,2
45899,2021.0,4.0,England,HAMPSHIRE,England,DEVON,36
45900,2021.0,4.0,England,HAMPSHIRE,England,DORSET,13
45901,2021.0,4.0,England,HAMPSHIRE,England,GLOUCESTERSHIRE,92
45903,2021.0,4.0,England,HAMPSHIRE,England,HEREFORD & WORCESTER,78
45904,2021.0,4.0,England,HAMPSHIRE,England,ISLE OF WIGHT,92
45907,2021.0,4.0,England,HAMPSHIRE,England,NOTTINGHAMSHIRE,33
45909,2021.0,4.0,England,HAMPSHIRE,England,SHROPSHIRE,5
45910,2021.0,4.0,England,HAMPSHIRE,England,SOMERSET,318
45912,2021.0,4.0,England,HAMPSHIRE,England,WILTSHIRE,940
45914,2021.0,4.0,England,HAMPSHIRE,Wales,MID GLAMORGAN,12
45964,2021.0,4.0,England,HERTFORDSHIRE,England,NORTH YORKSHIRE,4
45966,2021.0,4.0,England,HERTFORDSHIRE,England,SHROPSHIRE,2
45967,2021.0,4.0,England,HERTFORDSHIRE,England,SOUTH YORKSHIRE,8
45970,2021.0,4.0,England,HERTFORDSHIRE,Scotland,DUMFRIES & GALLOWAY,1
45971,2021.0,4.0,England,HERTFORDSHIRE,Scotland,GRAMPIAN,1
45972,2021.0,4.0,England,HERTFORDSHIRE,Wales,POWYS,2
45973,2021.0,4.0,England,HUMBERSIDE,England,CUMBRIA,10
45974,2021.0,4.0,England,HUMBERSIDE,England,DERBYSHIRE,2
45975,2021.0,4.0,England,HUMBERSIDE,England,DURHAM,71
