,Year,Month,Departure CPH Country,OnCounty,Destination CPH Country,OffCounty,Count
23161,2021,4,England,BEDFORDSHIRE,England,WEST MIDLANDS,15
23163,2021,4,England,BEDFORDSHIRE,Wales,MID GLAMORGAN,40
23164,2021,4,England,BERKSHIRE,England,AVON,42
23166,2021,4,England,BERKSHIRE,England,CHESHIRE,7
23167,2021,4,England,BERKSHIRE,England,GLOUCESTERSHIRE,23
23169,2021,4,England,BERKSHIRE,England,SOUTH YORKSHIRE,5
23171,2021,4,England,BERKSHIRE,England,WILTSHIRE,3
23173,2021,4,England,BERKSHIRE,Wales,MID GLAMORGAN,32
23174,2021,4,England,BUCKINGHAMSHIRE,England,AVON,8
23176,2021,4,England,BUCKINGHAMSHIRE,England,CHESHIRE,29
23179,2021,4,England,BUCKINGHAMSHIRE,England,LANCASHIRE,5
23182,2021,4,England,BUCKINGHAMSHIRE,England,SHROPSHIRE,15
23183,2021,4,England,BUCKINGHAMSHIRE,England,SOUTH YORKSHIRE,14
23184,2021,4,England,BUCKINGHAMSHIRE,England,STAFFORDSHIRE,2
23186,2021,4,England,BUCKINGHAMSHIRE,England,WARWICKSHIRE,9
23188,2021,4,England,BUCKINGHAMSHIRE,Wales,MID GLAMORGAN,504
23193,2021,4,England,CAMBRIDGESHIRE,England,SHROPSHIRE,36
23194,2021,4,England,CAMBRIDGESHIRE,England,STAFFORDSHIRE,6
23196,2021,4,England,CAMBRIDGESHIRE,Wales,MID GLAMORGAN,32
23305,2021,4,England,EAST SUSSEX,England,AVON,4
23307,2021,4,England,EAST SUSSEX,England,GLOUCESTERSHIRE,30
23312,2021,4,England,EAST SUSSEX,Wales,MID GLAMORGAN,423
23313,2021,4,England,ESSEX,England,AVON,1
23318,2021,4,England,ESSEX,England,GREATER MANCHESTER,7
23321,2021,4,England,ESSEX,England,SOUTH YORKSHIRE,22
23324,2021,4,England,ESSEX,Wales,MID GLAMORGAN,16
23354,2021,4,England,HAMPSHIRE,England,AVON,160
23356,2021,4,England,HAMPSHIRE,England,GLOUCESTERSHIRE,21
