,Year,Month,Best CPH Country (Dep),OnCounty,Best CPH Country (Dest),OffCounty,Movements,Animals
54425,2023,4,England,BEDFORDSHIRE,England,DERBYSHIRE,1,22
54429,2023,4,England,BEDFORDSHIRE,England,NORTH YORKSHIRE,1,182
54432,2023,4,England,BEDFORDSHIRE,England,WARWICKSHIRE,1,275
54433,2023,4,England,BEDFORDSHIRE,Unknown,UNKNOWN,4,120
54434,2023,4,England,BEDFORDSHIRE,Wales,POWYS (NORTH & SOUTH),2,968
54435,2023,4,England,BERKSHIRE,England,AVON,1,1
54438,2023,4,England,BERKSHIRE,England,DORSET,1,229
54439,2023,4,England,BERKSHIRE,England,GLOUCESTERSHIRE,25,"1,039"
54444,2023,4,England,BERKSHIRE,England,WARWICKSHIRE,1,4
54445,2023,4,England,BERKSHIRE,England,WEST YORKSHIRE,1,5
54446,2023,4,England,BERKSHIRE,England,WILTSHIRE,4,40
54447,2023,4,England,BERKSHIRE,Unknown,UNKNOWN,1,33
54448,2023,4,England,BERKSHIRE,Wales,DYFED,1,118
54449,2023,4,England,BERKSHIRE,Wales,GWENT,1,1
54450,2023,4,England,BERKSHIRE,Wales,MID GLAMORGAN,1,69
54451,2023,4,England,BUCKINGHAMSHIRE,England,AVON,1,8
54455,2023,4,England,BUCKINGHAMSHIRE,England,DERBYSHIRE,3,99
54458,2023,4,England,BUCKINGHAMSHIRE,England,HEREFORD & WORCESTER,1,12
54463,2023,4,England,BUCKINGHAMSHIRE,England,WARWICKSHIRE,28,"1,044"
54464,2023,4,England,BUCKINGHAMSHIRE,England,WILTSHIRE,3,94
54465,2023,4,England,BUCKINGHAMSHIRE,Unknown,UNKNOWN,47,"1,325"
54466,2023,4,England,BUCKINGHAMSHIRE,Wales,MID GLAMORGAN,5,330
54467,2023,4,England,BUCKINGHAMSHIRE,Wales,POWYS (NORTH & SOUTH),1,159
54476,2023,4,England,CAMBRIDGESHIRE,England,SHROPSHIRE,1,56
54478,2023,4,England,CAMBRIDGESHIRE,England,WARWICKSHIRE,3,178
54625,2023,4,England,EAST SUSSEX,England,DEVONSHIRE,2,60
54626,2023,4,England,EAST SUSSEX,England,DORSET,3,465
54630,2023,4,England,EAST SUSSEX,England,HEREFORD & WORCESTER,1,1
54632,2023,4,England,EAST SUSSEX,England,SOMERSET,2,291
54634,2023,4,England,EAST SUSSEX,England,WEST MIDLANDS,1,518
54636,2023,4,England,EAST SUSSEX,Wales,CLWYD,1,2
54637,2023,4,England,ESSEX,England,DEVONSHIRE,1,8
54645,2023,4,England,ESSEX,Unknown,UNKNOWN,4,"1,372"
54646,2023,4,England,ESSEX,Wales,POWYS (NORTH & SOUTH),2,83
54676,2023,4,England,GREATER LONDON - EAST,England,AVON,1,9
54692,2023,4,England,HAMPSHIRE,England,DORSET,12,770
54693,2023,4,England,HAMPSHIRE,England,GLOUCESTERSHIRE,13,494
54698,2023,4,England,HAMPSHIRE,England,SOMERSET,9,756
54700,2023,4,England,HAMPSHIRE,England,WARWICKSHIRE,1,20
54701,2023,4,England,HAMPSHIRE,England,WEST MIDLANDS,1,192
54703,2023,4,England,HAMPSHIRE,England,WILTSHIRE,70,"1,447"
54704,2023,4,England,HAMPSHIRE,Wales,DYFED,2,137
54705,2023,4,England,HAMPSHIRE,Wales,POWYS (NORTH & SOUTH),9,"1,761"
54737,2023,4,England,HERTFORD,England,DEVONSHIRE,1,41
54744,2023,4,England,HERTFORD,Wales,MID GLAMORGAN,6,462
54745,2023,4,England,HUMBERSIDE,England,CUMBRIA,1,57
54746,2023,4,England,HUMBERSIDE,England,DERBYSHIRE,1,10
54747,2023,4,England,HUMBERSIDE,England,DURHAM,2,115
54749,2023,4,England,HUMBERSIDE,England,LANCASHIRE,5,175
54751,2023,4,England,HUMBERSIDE,England,NORTH YORKSHIRE,236,"6,828"
54752,2023,4,England,HUMBERSIDE,England,NOTTINGHAMSHIRE,2,67
54753,2023,4,England,HUMBERSIDE,England,SOUTH YORKSHIRE,3,34
54754,2023,4,England,HUMBERSIDE,England,STAFFORDSHIRE,1,1
54755,2023,4,England,HUMBERSIDE,England,WEST MIDLANDS,3,125
54756,2023,4,England,HUMBERSIDE,England,WEST YORKSHIRE,8,357
54765,2023,4,England,KENT,England,DEVONSHIRE,1,225
54775,2023,4,England,KENT,England,SOMERSET,4,481
54777,2023,4,England,KENT,England,WARWICKSHIRE,6,"1,065"
54779,2023,4,England,KENT,Wales,DYFED,2,561
54804,2023,4,England,LEICESTER,England,CUMBRIA,2,298
54805,2023,4,England,LEICESTER,England,DERBYSHIRE,47,"1,706"
54806,2023,4,England,LEICESTER,England,DURHAM,1,121
54808,2023,4,England,LEICESTER,England,HEREFORD & WORCESTER,2,26
54812,2023,4,England,LEICESTER,England,NORTH YORKSHIRE,5,476
54813,2023,4,England,LEICESTER,England,NOTTINGHAMSHIRE,12,232
54814,2023,4,England,LEICESTER,England,SHROPSHIRE,20,"3,363"
54815,2023,4,England,LEICESTER,England,SOMERSET,1,2
54816,2023,4,England,LEICESTER,England,STAFFORDSHIRE,35,"1,058"
54818,2023,4,England,LEICESTER,England,WARWICKSHIRE,43,"2,380"
54819,2023,4,England,LEICESTER,England,WEST MIDLANDS,19,"1,072"
54820,2023,4,England,LEICESTER,England,WEST YORKSHIRE,3,67
54821,2023,4,England,LEICESTER,Unknown,UNKNOWN,43,"1,034"
54822,2023,4,England,LEICESTER,Wales,CLWYD,4,310
54823,2023,4,England,LEICESTER,Wales,POWYS (NORTH & SOUTH),4,323
54825,2023,4,England,LINCOLNSHIRE,England,CUMBRIA,3,740
54826,2023,4,England,LINCOLNSHIRE,England,DERBYSHIRE,11,800
54827,2023,4,England,LINCOLNSHIRE,England,DURHAM,1,130
54829,2023,4,England,LINCOLNSHIRE,England,LANCASHIRE,5,308
54834,2023,4,England,LINCOLNSHIRE,England,NORTHUMBERLAND,1,193
54835,2023,4,England,LINCOLNSHIRE,England,NORTH YORKSHIRE,54,"4,686"
54836,2023,4,England,LINCOLNSHIRE,England,NOTTINGHAMSHIRE,5,693
54837,2023,4,England,LINCOLNSHIRE,England,SOUTH YORKSHIRE,5,14
54838,2023,4,England,LINCOLNSHIRE,England,STAFFORDSHIRE,1,2
54839,2023,4,England,LINCOLNSHIRE,England,WARWICKSHIRE,8,989
54840,2023,4,England,LINCOLNSHIRE,England,WEST MIDLANDS,1,168
54841,2023,4,England,LINCOLNSHIRE,England,WEST YORKSHIRE,2,157
54842,2023,4,England,LINCOLNSHIRE,Unknown,UNKNOWN,1,6
54843,2023,4,England,LINCOLNSHIRE,Wales,CLWYD,1,95
54844,2023,4,England,LINCOLNSHIRE,Wales,POWYS (NORTH & SOUTH),2,238
54853,2023,4,England,NORFOLK,England,DERBYSHIRE,2,345
54856,2023,4,England,NORFOLK,England,LANCASHIRE,1,299
54861,2023,4,England,NORFOLK,England,NORTH YORKSHIRE,16,"1,045"
54863,2023,4,England,NORFOLK,Wales,DYFED,1,136
54864,2023,4,England,NORFOLK,Wales,MID GLAMORGAN,6,423
54865,2023,4,England,NORFOLK,Wales,POWYS (NORTH & SOUTH),3,868
54870,2023,4,England,NORTHAMPTONSHIRE,England,CORNWALL,6,"1,374"
54871,2023,4,England,NORTHAMPTONSHIRE,England,CUMBRIA,1,20
54872,2023,4,England,NORTHAMPTONSHIRE,England,DERBYSHIRE,8,446
54875,2023,4,England,NORTHAMPTONSHIRE,England,HEREFORD & WORCESTER,4,315
54878,2023,4,England,NORTHAMPTONSHIRE,England,LANCASHIRE,16,408
54884,2023,4,England,NORTHAMPTONSHIRE,England,SHROPSHIRE,2,327
54885,2023,4,England,NORTHAMPTONSHIRE,England,SOMERSET,9,"1,422"
54886,2023,4,England,NORTHAMPTONSHIRE,England,STAFFORDSHIRE,12,536
54887,2023,4,England,NORTHAMPTONSHIRE,England,WARWICKSHIRE,50,"1,497"
54888,2023,4,England,NORTHAMPTONSHIRE,England,WEST MIDLANDS,21,"3,747"
54889,2023,4,England,NORTHAMPTONSHIRE,Unknown,UNKNOWN,77,"2,773"
54890,2023,4,England,NORTHAMPTONSHIRE,Wales,CLWYD,2,35
54891,2023,4,England,NORTHAMPTONSHIRE,Wales,MID GLAMORGAN,4,879
54892,2023,4,England,NORTHAMPTONSHIRE,Wales,POWYS (NORTH & SOUTH),5,291
54959,2023,4,England,OXFORDSHIRE,England,DERBYSHIRE,7,117
