,Year,Month,Best CPH Country (Dep),OnCounty,Best CPH Country (Dest),OffCounty,Movements,Animals
27218,2023,4,England,BEDFORDSHIRE,England,WARWICKSHIRE,1,275
27219,2023,4,England,BEDFORDSHIRE,Wales,POWYS (NORTH & SOUTH),2,968
27220,2023,4,England,BERKSHIRE,England,DORSET,1,229
27223,2023,4,England,BERKSHIRE,England,WARWICKSHIRE,1,4
27224,2023,4,England,BERKSHIRE,England,WILTSHIRE,3,18
27225,2023,4,England,BERKSHIRE,Wales,DYFED,1,118
27226,2023,4,England,BERKSHIRE,Wales,MID GLAMORGAN,1,69
27228,2023,4,England,BUCKINGHAMSHIRE,England,DERBYSHIRE,3,99
27232,2023,4,England,BUCKINGHAMSHIRE,England,WARWICKSHIRE,27,"1,030"
27233,2023,4,England,BUCKINGHAMSHIRE,England,WILTSHIRE,1,7
27234,2023,4,England,BUCKINGHAMSHIRE,Wales,MID GLAMORGAN,5,330
27235,2023,4,England,BUCKINGHAMSHIRE,Wales,POWYS (NORTH & SOUTH),1,159
27241,2023,4,England,CAMBRIDGESHIRE,England,WARWICKSHIRE,3,178
27330,2023,4,England,EAST SUSSEX,England,DORSET,3,465
27333,2023,4,England,EAST SUSSEX,England,WEST MIDLANDS,1,518
27338,2023,4,England,ESSEX,Wales,POWYS (NORTH & SOUTH),2,83
27360,2023,4,England,HAMPSHIRE,England,DORSET,11,563
27363,2023,4,England,HAMPSHIRE,England,SOMERSET,1,8
27364,2023,4,England,HAMPSHIRE,England,WARWICKSHIRE,1,20
27365,2023,4,England,HAMPSHIRE,England,WEST MIDLANDS,1,192
27367,2023,4,England,HAMPSHIRE,England,WILTSHIRE,11,200
27368,2023,4,England,HAMPSHIRE,Wales,DYFED,2,137
27369,2023,4,England,HAMPSHIRE,Wales,POWYS (NORTH & SOUTH),9,"1,761"
27395,2023,4,England,HERTFORD,Wales,MID GLAMORGAN,6,462
27397,2023,4,England,HUMBERSIDE,England,LANCASHIRE,1,23
27398,2023,4,England,HUMBERSIDE,England,SOUTH YORKSHIRE,3,34
27399,2023,4,England,HUMBERSIDE,England,WEST MIDLANDS,3,125
27400,2023,4,England,HUMBERSIDE,England,WEST YORKSHIRE,2,44
27409,2023,4,England,KENT,England,WARWICKSHIRE,6,"1,065"
27411,2023,4,England,KENT,Wales,DYFED,2,561
27425,2023,4,England,LEICESTER,England,DERBYSHIRE,43,"1,642"
27428,2023,4,England,LEICESTER,England,NOTTINGHAMSHIRE,1,5
27429,2023,4,England,LEICESTER,England,SHROPSHIRE,18,"3,333"
27430,2023,4,England,LEICESTER,England,STAFFORDSHIRE,29,899
27431,2023,4,England,LEICESTER,England,WARWICKSHIRE,34,"1,918"
27432,2023,4,England,LEICESTER,England,WEST MIDLANDS,17,"1,046"
27433,2023,4,England,LEICESTER,England,WEST YORKSHIRE,3,67
27434,2023,4,England,LEICESTER,Wales,CLWYD,2,84
27435,2023,4,England,LEICESTER,Wales,POWYS (NORTH & SOUTH),4,323
27436,2023,4,England,LINCOLNSHIRE,England,DERBYSHIRE,10,796
27440,2023,4,England,LINCOLNSHIRE,England,SOUTH YORKSHIRE,5,14
27441,2023,4,England,LINCOLNSHIRE,England,WARWICKSHIRE,8,989
27442,2023,4,England,LINCOLNSHIRE,England,WEST MIDLANDS,1,168
27443,2023,4,England,LINCOLNSHIRE,Wales,POWYS (NORTH & SOUTH),1,26
27449,2023,4,England,NORFOLK,England,DERBYSHIRE,2,345
27450,2023,4,England,NORFOLK,England,LANCASHIRE,1,299
27453,2023,4,England,NORFOLK,Wales,DYFED,1,136
27454,2023,4,England,NORFOLK,Wales,MID GLAMORGAN,6,423
27455,2023,4,England,NORFOLK,Wales,POWYS (NORTH & SOUTH),3,868
